Aktiv;Artikelnummer;Artikelname;HAN;Überverkäufe möglich;Lagerführung aktiv;Lagerbestand (eigen);Verfügbar (gesamt);Im Zulauf;Ø Netto-EK;Netto-VK;Auf Einkaufsliste;Label;Brutto-VK;Gewinn (%);Lieferant;Reserviert (gesamt);Preis eBay;Preis Amazon;EAN;Lagerbestand (gesamt);In Aufträgen;Anmerkung;Steuerklasse;Versandklasse;Amazon FNSKU;Letzter Einkauf;Gewinn;Letzte Änderungen
Y;5303;Gravurmaterial transparent 1,6 mm mit SK-Folie;111626;N;Y;0,00;0,00;0,00;17,25;50,41;0,00;;59,99;65,78;Trotec Laser GmbH;0,00;0,00;0,00;;0,00;0,00;;Normaler Steuersatz;Paketversand standard;;;33,16;26.06.2026
Y;5304-TG;Troglass Satins Fuchsia lichtdurchlässig 3 mm mit SK-Folie;117068;N;Y;0,00;0,00;0,00;18,00;50,41;0,00;;59,99;64,29;Trotec Laser GmbH;0,00;0,00;0,00;;0,00;0,00;;Normaler Steuersatz;Paketversand standard;;;32,41;26.06.2026
Y;5305-TG;TroGlass Color Gloss Schwarz 3mm mit SK-Folie;117128;N;Y;0,00;0,00;0,00;15,70;50,41;0,00;;59,99;68,86;Trotec Laser GmbH;0,00;0,00;0,00;;0,00;0,00;;Normaler Steuersatz;Paketversand standard;;;34,71;26.06.2026
Y;300-CPL-01;Mirror-Material silber selbstklebend 590 x 290 mm 3 mm;CPL-01;Y;Y;0,00;0,00;10,00;5,00;50,41;0,00;;59,99;90,08;IMPORT-BESTELLUNG;0,00;0,00;0,00;;0,00;0,00;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;;45,41;26.06.2026
Y;300-CPL-02;Mirror-Material hell-gold selbstklebend 590 x 290 mm 3 mm;CPL-01;Y;Y;0,00;0,00;10,00;5,00;50,41;0,00;;59,99;90,08;IMPORT-BESTELLUNG;0,00;0,00;0,00;;0,00;0,00;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;;45,41;26.06.2026
Y;300-CPL-03;Mirror-Material dark-gold selbstklebend 590 x 290 mm 3 mm;CPL-03;Y;Y;0,00;0,00;10,00;5,00;50,41;0,00;;59,99;90,08;IMPORT-BESTELLUNG;0,00;0,00;0,00;;0,00;0,00;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;;45,41;26.06.2026
Y;300-CPL-04;Mirror-Material bronce selbstklebend 590 x 290 mm 3 mm;CPL-04;Y;Y;0,00;0,00;10,00;5,00;50,41;0,00;;59,99;90,08;IMPORT-BESTELLUNG;0,00;0,00;0,00;;0,00;0,00;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;;45,41;26.06.2026
Y;300-CPL-05;Mirror-Material dark-bronce selbstklebend 590 x 290 mm 3 mm;CPL-05;Y;Y;0,00;0,00;10,00;5,00;50,41;0,00;;59,99;90,08;IMPORT-BESTELLUNG;0,00;0,00;0,00;;0,00;0,00;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;;45,41;26.06.2026
Y;300-CPL-06;Mirror-Material dark antrazit selbstklebend 590 x 290 mm 3 mm;CPL-06;Y;Y;0,00;0,00;10,00;5,00;50,41;0,00;;59,99;90,08;IMPORT-BESTELLUNG;0,00;0,00;0,00;;0,00;0,00;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;;45,41;26.06.2026
Y;300-CPL-07;Mirror-Material gold selbstklebend 590 x 290 mm 3 mm;CPL-07;Y;Y;0,00;0,00;10,00;5,00;50,41;0,00;;59,99;90,08;IMPORT-BESTELLUNG;0,00;0,00;0,00;;0,00;0,00;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;;45,41;26.06.2026
